1;0
2;33426
3;66853
4;100279
5;133706
6;167132
7;200558
8;233985
9;267411
10;300838
11;334264
12;367690
13;401117
14;434543
15;467970
16;501396
17;534822
18;568249
19;601675
20;635102
21;668528
22;701954
23;735381
24;768807
25;802234
26;835660
27;869086
28;902513
29;935939
30;969366
31;1002792
32;1036218
33;1069645
34;1103071
35;1136498
36;1169924
37;1203350
38;1236777
39;1270203
40;1303630
41;1337056
42;1370482
43;1403909
44;1437335
45;1470762
46;1504188
47;1537614
48;1571041
49;1604467
50;1637894
51;1671320
52;1704746
53;1738173
54;1771599
55;1805026
56;1838452
57;1871878
58;1905305
59;1938731
60;1972158
61;2005584
62;2039010
63;2072437
64;2105863
65;2139290
66;2172716
67;2206142
68;2239569
69;2272995
70;2306422
71;2339848
72;2373275
73;2406701
74;2440127
75;2473554
76;2506980
77;2540406
78;2573833
79;2607259
80;2640686
81;2674112
82;2707539
83;2740965
84;2774391
85;2807818
86;2841244
87;2874671
88;2908097
89;2941523
90;2974950
91;3008376
92;3041803
93;3075229
94;3108655
95;3142082
96;3175508
97;3208935
98;3242361
99;3275787
100;3309214
101;3342640
102;3376067
103;3409493
104;3442919
105;3476346
106;3509772
107;3543199
108;3576625
109;3610051
110;3643478
111;3676904
112;3710331
113;3743757
114;3777183
115;3810610
116;3844036
117;3877463
118;3910889
119;3944315
120;3977742
121;4011168
122;4044594
123;4078021
124;4111447
125;4144874
126;4178300
127;4211726
128;4245153
129;4278579
130;4312006
131;4345432
132;4378858
133;4412285
134;4445711
135;4479138
136;4512564
137;4545990
138;4579417
139;4612843
140;4646270
141;4679696
142;4713122
143;4746549
144;4779975
145;4813402
146;4846828
147;4880254
148;4913681
149;4947107
150;4980534
151;5013960
152;5047386
153;5080813
154;5114239
155;5147666
156;5181092
